Image File,Inference Result,Top 10 Words,Top 10 Probabilities
img1.png,:::::,":, ,, ;, ., </s>, w, o, a, for, o","0.0660211443901062, 0.018049176782369614, 0.010777655988931656, 0.006164957769215107, 0.006045716814696789, 0.005928782280534506, 0.0044231410138309, 0.004388719797134399, 0.0038428911939263344, 0.0037538709584623575"
img2.png,:::::,":, ,, ;, </s>, w, ., a, o, for, and","0.04576558992266655, 0.022655609995126724, 0.008599099703133106, 0.0068826330825686455, 0.006315858568996191, 0.005705902818590403, 0.005381179042160511, 0.004938047844916582, 0.004549142438918352, 0.0045137410052120686"
img3.png,:::::,":, ,, ;, w, </s>, a, ., o, and, for","0.06531044840812683, 0.020631276071071625, 0.009013136848807335, 0.006416286341845989, 0.006267653778195381, 0.005196067038923502, 0.0049775270745158195, 0.004786841571331024, 0.004224372562021017, 0.00415887963026762"
img4.png,:::::,":, ,, ;, </s>, t, o, ., w, l, is","0.06427671015262604, 0.01618833839893341, 0.011082695797085762, 0.00826819334179163, 0.005863027647137642, 0.005380216520279646, 0.005194354802370071, 0.0037413528189063072, 0.0037413528189063072, 0.003162866458296776"
img5.png,:::::,":, ,, w, ;, a, </s>, for, o, and, t","0.06218985840678215, 0.019115593284368515, 0.0074565899558365345, 0.0071989987045526505, 0.006181730423122644, 0.005784557666629553, 0.00500611774623394, 0.004986600484699011, 0.004150216933339834, 0.004069944843649864"
img6.png,:::::,":, ,, ;, </s>, w, ., a, t, o, o","0.057499825954437256, 0.02314145676791668, 0.008681175298988819, 0.008447014726698399, 0.005306696053594351, 0.0050835032016038895, 0.004831801634281874, 0.004382253624498844, 0.004247425589710474, 0.004230866674333811"
img7.png,:::::,":, ,, ;, w, a, </s>, o, for, and, .","0.06538122147321701, 0.01583569124341011, 0.008443188853561878, 0.007480250671505928, 0.00681084580719471, 0.006034075282514095, 0.006010550539940596, 0.005408909637480974, 0.004537001717835665, 0.004380268510431051"
img8.png,:::::,":, ,, ;, w, ., a, o, for, </s>, and","0.05086565762758255, 0.020551582798361778, 0.00929958000779152, 0.007299324031919241, 0.006122683174908161, 0.005706968251615763, 0.005237008444964886, 0.004843441769480705, 0.004427263513207436, 0.004126663785427809"
img9.png,:::::,":, ,, ;, </s>, ., w, a, o, and, for","0.0649319514632225, 0.025328585878014565, 0.010273727588355541, 0.00731367664411664, 0.0062070367857813835, 0.005695897154510021, 0.004316316451877356, 0.004183517303317785, 0.004007563926279545, 0.003945432603359222"
img10.png,:::::,":, ,, </s>, ;, w, a, ., for, o, and","0.06397280097007751, 0.022456565871834755, 0.009361288510262966, 0.00822910014539957, 0.006091507151722908, 0.005210341885685921, 0.004544540774077177, 0.004544540774077177, 0.004353403579443693, 0.004219463560730219"
img11.png,:::::,":, ,, ;, </s>, w, ., o, a, and, for","0.0862959772348404, 0.021904433146119118, 0.009024746716022491, 0.00765920290723443, 0.00683889864012599, 0.00584961986169219, 0.005223122891038656, 0.005162271670997143, 0.005102129187434912, 0.004925874061882496"
img12.png,::: a:,":, ,, a, w, for, ;, o, </s>, and, d","0.06427018344402313, 0.01556659210473299, 0.008664113469421864, 0.007498164661228657, 0.007043873891234398, 0.006853877566754818, 0.005862432066351175, 0.005275617819279432, 0.005214155185967684, 0.005073511973023415"
img13.png,:::::,":, ,, w, ;, a, o, for, ., and, b","0.05736427381634712, 0.019365327432751656, 0.008935630321502686, 0.008328923024237156, 0.007179981097579002, 0.006238075438886881, 0.00606981385499239, 0.005419733934104443, 0.0051917871460318565, 0.0048963213339447975"
img14.png,:::::,":, ,, ;, </s>, o, t, ., l, /, -","0.04497843608260155, 0.016939034685492516, 0.009689345955848694, 0.009102298878133297, 0.006790728308260441, 0.006581799127161503, 0.00632965425029397, 0.004232961684465408, 0.0041349055245518684, 0.0033880199771374464"
img15.png,:::::,":, ,, ;, </s>, ., w, and, a, o, for","0.07839739322662354, 0.029180757701396942, 0.012948882766067982, 0.009218070656061172, 0.007612255401909351, 0.006385170854628086, 0.004689774475991726, 0.004440189339220524, 0.004354308359324932, 0.004090494010597467"
img16.png,:::::,":, ,, ;, </s>, ., w, and, a, o, for","0.07356708496809006, 0.023977212607860565, 0.010515866801142693, 0.007574294228106737, 0.006428219843655825, 0.005830142647027969, 0.004006994888186455, 0.003960311878472567, 0.003929492086172104, 0.003662689356133342"
img17.png,:::::,":, ,, ;, w, </s>, ., o, a, for, and","0.05778563395142555, 0.022895924746990204, 0.009001265279948711, 0.006847801152616739, 0.0064078341238200665, 0.006162354256957769, 0.0056548938155174255, 0.005480911582708359, 0.0044908975251019, 0.004268537741154432"
img18.png,:::::,":, ,, ;, w, </s>, a, o, for, ., and","0.06677539646625519, 0.02193434163928032, 0.009695357643067837, 0.007093275897204876, 0.006821536459028721, 0.006308889947831631, 0.005655251909047365, 0.00537524139508605, 0.0051895505748689175, 0.004491182044148445"
img19.png,:::::,":, ,, w, ;, a, ., </s>, o, for, and","0.07588577270507812, 0.03175770863890648, 0.012291607446968555, 0.00983807910233736, 0.007455236744135618, 0.006949044764041901, 0.006502572447061539, 0.006477221846580505, 0.006376801989972591, 0.00587458536028862"
img20.png,:::::,":, ,, ;, </s>, ., w, a, o, and, t","0.07577145099639893, 0.024599388241767883, 0.012130104005336761, 0.00780125055462122, 0.006938575766980648, 0.005820087622851133, 0.004479881376028061, 0.004393232520669699, 0.003861899022012949, 0.003772438270971179"
img21.png,:::::,":, ,, ;, </s>, o, t, ., w, a, o","0.0471821203827858, 0.017561934888362885, 0.009698621928691864, 0.00832813885062933, 0.005419223103672266, 0.005335206165909767, 0.005171059165149927, 0.0046172356233000755, 0.004138863645493984, 0.003857844742015004"
img22.png,:::::,":, ,, ;, </s>, w, ., a, o, for, and","0.06439710408449173, 0.020422374829649925, 0.009241113439202309, 0.008887091651558876, 0.00594324991106987, 0.005204083863645792, 0.00502430647611618, 0.00457468256354332, 0.004539082758128643, 0.0040214043110609055"
img23.png,:::::,":, ,, ;, </s>, w, a, for, o, ., and","0.07066918909549713, 0.018291696906089783, 0.009269779548048973, 0.007625113241374493, 0.007052076980471611, 0.00659898528829217, 0.005302433390170336, 0.005261170212179422, 0.004790349397808313, 0.00446509663015604"
img24.png,:::::,":, ,, ;, w, a, </s>, o, for, ., and","0.05057111382484436, 0.02166557125747204, 0.008787941187620163, 0.007575680036097765, 0.006737949326634407, 0.006087229587137699, 0.0054993536323308945, 0.005456557497382164, 0.0052886768244206905, 0.004436149727553129"
img25.png,:::::,":, ,, ;, </s>, ., w, o, a, o, t","0.06442602723836899, 0.0206723865121603, 0.01043541356921196, 0.008891083300113678, 0.006843711249530315, 0.005945919547230005, 0.004759053699672222, 0.0045946501195430756, 0.004435925744473934, 0.004070634488016367"
img26.png,:::::,":, ,, ;, </s>, w, a, o, ., for, and","0.055349528789520264, 0.01728096604347229, 0.00932238157838583, 0.006283246912062168, 0.0061858342960476875, 0.005566648673266172, 0.0049510798417031765, 0.00479875085875392, 0.0045256526209414005, 0.004508009180426598"
img27.png,:::: o,":, ,, ;, </s>, w, a, o, for, t, .","0.051843203604221344, 0.01670004613697529, 0.007981529459357262, 0.00770580442622304, 0.007295708637684584, 0.0068269651383161545, 0.006072028074413538, 0.004710464272648096, 0.004547738935798407, 0.004530008416622877"
img28.png,:::::,":, ,, ;, w, ., </s>, a, o, for, and","0.08748864382505417, 0.023182185366749763, 0.011566019617021084, 0.007526152767241001, 0.007266158703714609, 0.007097838446497917, 0.0056368280202150345, 0.00561485206708312, 0.005233617499470711, 0.004600645042955875"
img29.png,::: a:,":, ,, ;, w, a, </s>, for, o, d, and","0.054982323199510574, 0.020069459453225136, 0.008733515627682209, 0.007951956242322922, 0.007470171898603439, 0.006696218159049749, 0.00581777561455965, 0.005772500764578581, 0.004785571247339249, 0.004674714058637619"
img30.png,:::::,":, ,, w, ;, a, o, for, ., d, b","0.058469727635383606, 0.02245420590043068, 0.010160514153540134, 0.008228235878050327, 0.007609874475747347, 0.006874948274344206, 0.00635828822851181, 0.005973058752715588, 0.005611169617623091, 0.0053751710802316666"
img31.png,:::::,":, ,, ;, </s>, ., w, o, a, o, for","0.060796622186899185, 0.020765967667102814, 0.010606218129396439, 0.008555690757930279, 0.006821191404014826, 0.0062350742518901825, 0.0049131205305457115, 0.004874886013567448, 0.004285300150513649, 0.004153454676270485"
img32.png,:::: o,":, ,, w, ;, a, o, for, </s>, d, and","0.06683434545993805, 0.01798822171986103, 0.009115987457334995, 0.008497033268213272, 0.007469371892511845, 0.006216562818735838, 0.006096323486417532, 0.00513361906632781, 0.004917705897241831, 0.004841464105993509"
