Image File,Inference Result,Top 10 Words,Top 10 Probabilities
img1.png,",,,,,",",, and, a, [, (, or, for, ;, to, ,","0.4596785306930542, 0.1480744183063507, 0.01039645541459322, 0.008892559446394444, 0.0084853395819664, 0.00671245576813817, 0.0061596957966685295, 0.005854708142578602, 0.005027396604418755, 0.004815951455384493"
img2.png,",,,,,",",, and, [, a, (, or, ;, for, to, ,","0.37962573766708374, 0.13326117396354675, 0.011920366436243057, 0.0110245356336236, 0.007848164066672325, 0.007606700994074345, 0.00666065001860261, 0.005652820225805044, 0.00510689802467823, 0.004835113417357206"
img3.png,",,,,,",",, and, a, (, [, ;, or, for, to, ,","0.42241689562797546, 0.10597256571054459, 0.014567677862942219, 0.010012208484113216, 0.00970416609197855, 0.007498797960579395, 0.006566166877746582, 0.0064643677324056625, 0.004956402815878391, 0.004937079735100269"
img4.png,",,,,,",",, and, (, a, [, for, ;, ,, or, to","0.4791963994503021, 0.12211009114980698, 0.014135269448161125, 0.011447089724242687, 0.007991356775164604, 0.006625067442655563, 0.006496927700936794, 0.00562262162566185, 0.005220427177846432, 0.005059811752289534"
img5.png,",,,,a",",, and, a, [, (, ;, or, for, ,, to","0.42904654145240784, 0.12292389571666718, 0.013367353938519955, 0.00970365758985281, 0.007736430037766695, 0.006721527315676212, 0.005464562680572271, 0.005275787319988012, 0.004898402374237776, 0.004601622931659222"
img6.png,",,,,,",",, and, a, (, [, ;, for, </s>, ,, or","0.445433646440506, 0.09558212757110596, 0.016098657622933388, 0.012537646107375622, 0.010394074022769928, 0.007515871897339821, 0.006304324604570866, 0.006086539011448622, 0.0060156285762786865, 0.005673278123140335"
img7.png,",,,,a",",, and, a, (, [, or, for, ;, to, ,","0.43467649817466736, 0.10085306316614151, 0.015587621368467808, 0.014082242734730244, 0.00952852237969637, 0.005939549766480923, 0.005870352033525705, 0.005386937875300646, 0.004866693168878555, 0.0046257260255515575"
img8.png,",,,,,",",, and, a, [, (, or, ;, for, to, ,","0.445222407579422, 0.14119422435760498, 0.010470627807080746, 0.010308295488357544, 0.0076604741625487804, 0.007541710045188665, 0.005942724645137787, 0.005582673009485006, 0.004450894892215729, 0.004381889943033457"
img9.png,",,,,,",",, and, (, a, [, ;, for, or, :, ,","0.4327806532382965, 0.1068892776966095, 0.013171342201530933, 0.013068843632936478, 0.011714835651218891, 0.008437879383563995, 0.006494867615401745, 0.006197446025907993, 0.005913644563406706, 0.0053634424693882465"
img10.png,",,,,,",",, and, a, (, [, ;, for, o, ,, or","0.43232065439224243, 0.07690762728452682, 0.017844004556536674, 0.0091853067278862, 0.00886799581348896, 0.006487964186817408, 0.00537871103733778, 0.005254114046692848, 0.005254114046692848, 0.005112392362207174"
img11.png,",,,,,",",, and, a, (, [, ;, o, for, or, of","0.3660522997379303, 0.08427002280950546, 0.02147390879690647, 0.008508429862558842, 0.008278929628431797, 0.007626906968653202, 0.005893617402762175, 0.005450704600661993, 0.005387202370911837, 0.0049051037058234215"
img12.png,",,,,,",",, and, a, [, or, ;, (, ,, o, for","0.43372300267219543, 0.12622058391571045, 0.015798360109329224, 0.00643317773938179, 0.00578923337161541, 0.004971174988895655, 0.004856017418205738, 0.0046882638707757, 0.004544021561741829, 0.004186148755252361"
img13.png,",,,,,",",, and, [, a, (, or, for, ;, o, to","0.46296095848083496, 0.14681969583034515, 0.00945948250591755, 0.008886362425982952, 0.007424833718687296, 0.007029690779745579, 0.005163161084055901, 0.004926722496747971, 0.0038219764828681946, 0.003604467026889324"
img14.png,",,,,,",",, and, (, a, for, ,, [, to, ;, or","0.49419936537742615, 0.1393953263759613, 0.00971092376857996, 0.006779317744076252, 0.006570740137249231, 0.005913026165217161, 0.0058899736031889915, 0.005798657890409231, 0.005279737990349531, 0.004016613122075796"
img15.png,",,,,,",",, and, [, a, (, :, ;, or, for, ,","0.40334394574165344, 0.09580259025096893, 0.011897784657776356, 0.011531729251146317, 0.009193895384669304, 0.007772337179630995, 0.007742036134004593, 0.005982581526041031, 0.005468522664159536, 0.005218100734055042"
img16.png,",,,,,",",, and, a, [, (, ;, for, :, or, ,","0.45024436712265015, 0.11653923243284225, 0.011096896603703499, 0.009792976081371307, 0.00877836812287569, 0.008182337507605553, 0.0060332780703902245, 0.006009756587445736, 0.00568992318585515, 0.0053243488073349"
img17.png,",,,,o",",, and, [, a, (, ;, :, or, for, ,","0.37844088673591614, 0.10508923977613449, 0.011790687218308449, 0.010651997290551662, 0.008426424115896225, 0.006797322072088718, 0.005998614709824324, 0.00565723329782486, 0.005591324530541897, 0.0052937595173716545"
img18.png,",,,,a",",, and, a, [, (, ;, or, for, to, o","0.4012637138366699, 0.10969939082860947, 0.01763029769062996, 0.010527530685067177, 0.010445605032145977, 0.006587960757315159, 0.006485823541879654, 0.006261768285185099, 0.004953466355800629, 0.0048387194983661175"
img19.png,",,,,,",",, and, a, [, or, (, ;, o, :, of","0.3210187256336212, 0.10752779990434647, 0.011602109298110008, 0.010001643560826778, 0.00832410715520382, 0.007203913759440184, 0.006482820957899094, 0.006407293491065502, 0.006258868612349033, 0.0047244420275092125"
img20.png,",,,,,",",, and, (, [, a, or, for, ;, :, to","0.44267505407333374, 0.1448427140712738, 0.011082153767347336, 0.00977996550500393, 0.009332108311355114, 0.0066433558240532875, 0.005817117169499397, 0.005358979571610689, 0.005275895819067955, 0.004860382992774248"
img21.png,",,,,,",",, and, a, (, [, for, or, ;, ,, to","0.4521864652633667, 0.1265524923801422, 0.014198795892298222, 0.010634406469762325, 0.0093117980286479, 0.006227272097021341, 0.005988709162920713, 0.005603938829153776, 0.005347315222024918, 0.00504299858585"
img22.png,",,,,,",",, and, a, (, [, ;, or, for, ,, to","0.42244580388069153, 0.10597982257604599, 0.016508471220731735, 0.009934973903000355, 0.009554371237754822, 0.006290432997047901, 0.0061447154730558395, 0.005705175455659628, 0.005015171132981777, 0.00469294935464859"
img23.png,",,,,,",",, and, a, (, [, ;, for, or, ,, o","0.4452400803565979, 0.1009109690785408, 0.016602464020252228, 0.00916875246912241, 0.008028427138924599, 0.005604745354503393, 0.005474912002682686, 0.005369017366319895, 0.0048315925523638725, 0.004556626081466675"
img24.png,",,,,,",",, and, a, [, (, or, for, ;, to, of","0.39307495951652527, 0.1434788703918457, 0.012439479120075703, 0.012246625497937202, 0.011594871059060097, 0.007486211135983467, 0.006977916229516268, 0.006038883235305548, 0.005413219332695007, 0.004612120799720287"
