Image File,Inference Result,Top 10 Words,Top 10 Probabilities
img1.png,eoooo,"e, t, o, c, m, ;, d, ve, ', :","0.015610836446285248, 0.015308896079659462, 0.01507155317813158, 0.014837890863418579, 0.013300597667694092, 0.009769012220203876, 0.008722744882106781, 0.008067220449447632, 0.007880344055593014, 0.007697795983403921"
img2.png,ootoo,"o, t, c, e, m, ;, d, ve, r, '","0.015362512320280075, 0.015302619896829128, 0.01483180746436119, 0.014375480823218822, 0.013451865874230862, 0.009726936928927898, 0.009209278039634228, 0.007907943800091743, 0.00751639436930418, 0.00751639436930418"
img3.png,toeto,"t, o, c, e, m, ;, d, ve, :, '","0.01602828875184059, 0.015057184733450413, 0.014940008521080017, 0.014311651699244976, 0.013392137363553047, 0.009570928290486336, 0.008991055190563202, 0.007934578694403172, 0.007600860670208931, 0.007512308191508055"
img4.png,tteoo,"t, o, c, e, m, ;, d, ve, ', r","0.016328368335962296, 0.014693942852318287, 0.014297598972916603, 0.014075933955609798, 0.01402105763554573, 0.009750114753842354, 0.00905267521739006, 0.00802022498100996, 0.007743163499981165, 0.0073597729206085205"
img5.png,teooo,"t, o, c, e, m, ;, d, ', :, ve","0.015493779443204403, 0.01495854090899229, 0.014669216237962246, 0.014612026512622833, 0.013047071173787117, 0.009771804325282574, 0.008725239895284176, 0.007975514978170395, 0.007821253500878811, 0.0076699769124388695"
img6.png,tteoo,"t, c, o, e, m, ;, d, ve, :, '","0.01635252870619297, 0.014831100590527058, 0.01454424113035202, 0.014041803777217865, 0.013878212310373783, 0.010074500925838947, 0.00906606949865818, 0.007724388502538204, 0.007664276286959648, 0.007604632992297411"
img7.png,teooo,"t, e, o, c, m, ;, d, ve, ', :","0.015883715823292732, 0.01480525080114603, 0.0141825620085001, 0.014072192832827568, 0.01369261834770441, 0.010017733089625835, 0.008272615261375904, 0.008018093183636665, 0.008018093183636665, 0.007924679666757584"
img8.png,ooteo,"o, c, e, t, m, ;, d, ve, ', :","0.01578301191329956, 0.015119198709726334, 0.01506025530397892, 0.015001541003584862, 0.012781472876667976, 0.00957288034260273, 0.009028085507452488, 0.007692025508731604, 0.007602410856634378, 0.007543248124420643"
img9.png,ootoo,"o, t, c, e, m, ;, d, ve, r, :","0.01609067991375923, 0.01590321771800518, 0.015474256128072739, 0.014650730416178703, 0.01376308873295784, 0.009533412754535675, 0.009349019266664982, 0.007690293714404106, 0.007660312112420797, 0.007571066729724407"
img10.png,tteoo,"t, o, e, c, m, ;, d, :, ve, '","0.016770826652646065, 0.013849298469722271, 0.013795305974781513, 0.013687949627637863, 0.01326681673526764, 0.010092861950397491, 0.008205438032746315, 0.008078224956989288, 0.007891092449426651, 0.00773846497759223"
img11.png,teooo,"t, c, e, m, o, ;, :, d, ', ve","0.016339682042598724, 0.014646795578300953, 0.014419718645513058, 0.013652315363287926, 0.01338825561106205, 0.01109925378113985, 0.009530852548778057, 0.008510093204677105, 0.00818407628685236, 0.007809299975633621"
img12.png,ttttt,"t, e, m, c, o, ;, ', ve, :, d","0.016327349469065666, 0.013378150761127472, 0.013068247586488724, 0.012765521183609962, 0.01246980857104063, 0.010418915189802647, 0.008146017789840698, 0.008019724860787392, 0.007895391434431076, 0.007273574825376272"
img13.png,eoooo,"e, o, c, t, m, ;, d, :, ', r","0.01693548634648323, 0.016034197062253952, 0.014656441286206245, 0.01448568981140852, 0.012293844483792782, 0.00980150792747736, 0.008649800904095173, 0.00806250050663948, 0.007875733077526093, 0.007427523378282785"
img14.png,tteoo,"t, e, o, m, c, ;, d, ', ve, -","0.016362885013222694, 0.014440195634961128, 0.014383899047970772, 0.013941352255642414, 0.013618402183055878, 0.010523485951125622, 0.008555533364415169, 0.008522178046405315, 0.007820390164852142, 0.007820390164852142"
img15.png,ooooo,"o, c, e, t, m, ;, d, :, r, ve","0.01644420251250267, 0.016000647097826004, 0.015508360229432583, 0.01509004831314087, 0.013008435256779194, 0.009781000204384327, 0.009443111717700958, 0.007951896637678146, 0.007798093371093273, 0.0075287045910954475"
img16.png,ooteo,"o, t, c, e, m, ;, d, ve, r, :","0.015729021281003952, 0.015485166572034359, 0.015067479573190212, 0.01454696711152792, 0.013401293195784092, 0.009319137781858444, 0.009282805025577545, 0.007576405070722103, 0.007517444901168346, 0.007229456212371588"
img17.png,ootoo,"o, c, t, e, m, ;, d, r, ve, :","0.016102194786071777, 0.01591460034251213, 0.0158525537699461, 0.015067639760673046, 0.013612478040158749, 0.009920274838805199, 0.009615059942007065, 0.007940088398754597, 0.007725917734205723, 0.007665794342756271"
img18.png,teooo,"t, e, o, c, m, ;, d, :, ', ve","0.015721943229436874, 0.014943496324121952, 0.014827204868197441, 0.01425918284803629, 0.013084962032735348, 0.010071855038404465, 0.008481351658701897, 0.008092963136732578, 0.007998676970601082, 0.0077525838278234005"
img19.png,ooooo,"o, c, e, t, m, ;, d, :, r, ve","0.0173637717962265, 0.016961539164185524, 0.01605886220932007, 0.015027091838419437, 0.012169310823082924, 0.009855006821453571, 0.0097401924431324, 0.008298748172819614, 0.007615359500050545, 0.00735228369012475"
img20.png,eoooo,"e, o, c, t, m, ;, d, :, ', ve","0.01587977260351181, 0.015756195411086082, 0.015271428041160107, 0.014917666092514992, 0.012710011564195156, 0.009898565709590912, 0.009154677391052246, 0.008400803431868553, 0.00807897374033928, 0.007799881976097822"
