Image File,Inference Result,Top 10 Words,Top 10 Probabilities
img1.png,.,"., ,, </s>, t, :, o, ;, i, a, <0x0A>","0.17710751295089722, 0.11524605005979538, 0.05235287919640541, 0.03420000150799751, 0.027054430916905403, 0.01132210437208414, 0.009534168057143688, 0.007873287424445152, 0.006734379567205906, 0.006400937680155039"
img2.png,.,"., ,, </s>, t, :, o, ;, i, a, e","0.1649397611618042, 0.11336133629083633, 0.04818807542324066, 0.038119904696941376, 0.026820700615644455, 0.01227941270917654, 0.00916100014001131, 0.008983810432255268, 0.0070239827036857605, 0.0061986432410776615"
img3.png,.,"., ,, </s>, t, :, o, ;, i, a, e","0.166728213429451, 0.0942595899105072, 0.04298693686723709, 0.035637423396110535, 0.024976303800940514, 0.011524670757353306, 0.008699278347194195, 0.008366013877093792, 0.0067222812213003635, 0.006049398332834244"
img4.png,.,"., ,, </s>, t, :, o, ;, i, /, a","0.12039408087730408, 0.07773226499557495, 0.051983512938022614, 0.033301886171102524, 0.021925391629338264, 0.011286224238574505, 0.008097469806671143, 0.007315454073250294, 0.006608962081372738, 0.00633099814876914"
img5.png,.,"., ,, </s>, :, t, ;, o, <0x0A>, i, /","0.21894587576389313, 0.1338389366865158, 0.05622995272278786, 0.030571693554520607, 0.028831854462623596, 0.010360943153500557, 0.009287489578127861, 0.006928888615220785, 0.006358306389302015, 0.0058575463481247425"
img6.png,.,"., ,, </s>, t, :, o, i, ;, a, e","0.1252007931470871, 0.0753471627831459, 0.0403304323554039, 0.0368649959564209, 0.021927274763584137, 0.01220436580479145, 0.009105011820793152, 0.007667188532650471, 0.007118743844330311, 0.0064312489703297615"
img7.png,.,"., ,, </s>, t, :, o, ;, i, a, <0x0A>","0.13011637330055237, 0.09745265543460846, 0.05075564980506897, 0.036844652146101, 0.02483314462006092, 0.011280964128673077, 0.009099986404180527, 0.008285632357001305, 0.007226856891065836, 0.006657692138105631"
img8.png,.,"., ,, </s>, t, :, o, ;, i, a, /","0.20212453603744507, 0.12259472906589508, 0.046896666288375854, 0.03724351152777672, 0.027461644262075424, 0.011857332661747932, 0.009198498912155628, 0.008880732581019402, 0.0068090930581092834, 0.005915842950344086"
img9.png,.,"., ,, </s>, t, :, o, ;, i, a, <0x0A>","0.17366836965084076, 0.11478778719902039, 0.04975682124495506, 0.035698771476745605, 0.028240051120519638, 0.01127708237618208, 0.009608193300664425, 0.008186284452676773, 0.006681450176984072, 0.006501229014247656"
img10.png,.,"., ,, t, </s>, :, o, ;, i, a, e","0.15356062352657318, 0.10804339498281479, 0.03807523846626282, 0.0338648222386837, 0.025662556290626526, 0.009477676823735237, 0.00890345312654972, 0.00794988963752985, 0.006642381194978952, 0.006363010965287685"
img11.png,",",",, ., </s>, t, :, ;, <0x0A>, o, /, i","0.17109380662441254, 0.16198836266994476, 0.04063834249973297, 0.03435485064983368, 0.03239970654249191, 0.011872719042003155, 0.008159992285072803, 0.0076656038872897625, 0.006979610770940781, 0.006330233067274094"
img12.png,.,"., ,, </s>, t, :, o, ;, i, a, -","0.1522427499294281, 0.10062631964683533, 0.03331291303038597, 0.03279644250869751, 0.023438559845089912, 0.008555462583899498, 0.008522109128534794, 0.007433115039020777, 0.006357880309224129, 0.006066732108592987"
img13.png,.,"., ,, </s>, :, t, ;, o, i, -, /","0.26876354217529297, 0.1997281014919281, 0.03580927848815918, 0.03260471671819687, 0.030272454023361206, 0.01113661378622055, 0.00827602855861187, 0.0071623059920966625, 0.005961000453680754, 0.005914611276239157"
img14.png,.,"., ,, </s>, t, :, o, i, ;, a, /","0.12415533512830734, 0.07953689247369766, 0.05596119537949562, 0.028806354850530624, 0.01972111314535141, 0.011105839163064957, 0.007662798278033733, 0.00748529052361846, 0.00622981134802103, 0.00613322714343667"
img15.png,.,"., ,, </s>, t, :, o, ;, i, <0x0A>, a","0.18827775120735168, 0.13143904507160187, 0.05027991533279419, 0.03707408532500267, 0.03049631230533123, 0.011175227351486683, 0.010457226075232029, 0.007986575365066528, 0.007075713947415352, 0.006858016364276409"
img16.png,.,"., ,, </s>, t, :, ;, o, <0x0A>, i, /","0.20773357152938843, 0.12698498368263245, 0.06092805787920952, 0.028668172657489777, 0.02855640836060047, 0.0098303547129035, 0.009270908311009407, 0.00802330207079649, 0.006396734155714512, 0.006396734155714512"
img17.png,.,"., ,, </s>, t, :, o, ;, <0x0A>, i, /","0.17957428097724915, 0.12245901674032211, 0.06923205405473709, 0.03563760966062546, 0.028081759810447693, 0.010700349695980549, 0.010130888782441616, 0.008077047765254974, 0.0070724994875490665, 0.006540993228554726"
