Image File,Inference Result,Top 10 Words,Top 10 Probabilities
img1.png,",,,,,",",, </s>, ., :, -, ;, on, o, t, '","0.020280389115214348, 0.011691629886627197, 0.009730636142194271, 0.00917686428874731, 0.0088598458096385, 0.008825304917991161, 0.007203003857284784, 0.006635717581957579, 0.005901929456740618, 0.003931532613933086"
img2.png,",,,,,",",, </s>, ., ;, :, -, on, o, s, t","0.02444283477962017, 0.011959110386669636, 0.011017248965799809, 0.009386813268065453, 0.009313764981925488, 0.008749471977353096, 0.007781941443681717, 0.005583270452916622, 0.005044063553214073, 0.004416729789227247"
img3.png,",,,,,",",, </s>, ., -, ;, :, on, o, t, s","0.02043244242668152, 0.012441406957805157, 0.009727301076054573, 0.008032776415348053, 0.0077552804723382, 0.007664928212761879, 0.007546094711869955, 0.005946179386228323, 0.005227027460932732, 0.004367344547063112"
img4.png,",,,,,",",, </s>, ., :, -, ;, on, o, t, s","0.02169504202902317, 0.013365928083658218, 0.009855417534708977, 0.008663468062877655, 0.008562535047531128, 0.008234509266912937, 0.008043757639825344, 0.0057038781233131886, 0.004803146701306105, 0.004691882058978081"
img5.png,",,,,,",",, </s>, ., ;, -, :, on, o, t, s","0.019704027101397514, 0.011904504150152206, 0.00930752418935299, 0.008507764898240566, 0.008310684002935886, 0.007899193093180656, 0.007108504418283701, 0.006009388715028763, 0.00538678141310811, 0.004379422403872013"
img6.png,",,,,,",",, </s>, ., -, :, on, ;, o, t, a","0.0214434415102005, 0.013159416615962982, 0.010168809443712234, 0.00795047264546156, 0.007675820030272007, 0.007498009596019983, 0.0073817637749016285, 0.006463688798248768, 0.00523445475846529, 0.004288958385586739"
img7.png,",,,,,",",, </s>, ., ;, :, -, on, o, t, '","0.023090599104762077, 0.01086470391601324, 0.010087535716593266, 0.009329445660114288, 0.009184805676341057, 0.008902219124138355, 0.007795043755322695, 0.005792784504592419, 0.005770200863480568, 0.0041887168772518635"
img8.png,",,,,,",",, ., :, </s>, -, ;, on, o, t, s","0.02357029728591442, 0.009230260737240314, 0.008842049166560173, 0.00863722339272499, 0.00840424932539463, 0.00840424932539463, 0.007504149340093136, 0.005686599295586348, 0.004883043002337217, 0.004605147987604141"
img9.png,",,,,,",",, </s>, ., :, -, ;, on, o, t, s","0.021529994904994965, 0.012956979684531689, 0.009818719699978828, 0.00876713078469038, 0.008333040401339531, 0.008203848265111446, 0.0069897654466331005, 0.0059786634519696236, 0.005359239410609007, 0.004391203168779612"
img10.png,",,,,,",",, </s>, ., -, ;, on, :, o, t, '","0.023638509213924408, 0.012408055365085602, 0.009184935130178928, 0.008527923375368118, 0.008169250562787056, 0.0071253469213843346, 0.006799053400754929, 0.005441893823444843, 0.0053366380743682384, 0.004493899643421173"
