Image File,Inference Result
img1.png,These peppers seem very hot.
img2.png,"The image is of a small umbrella, with its handle firmly open."
img3.png,a waitress at table
img4.png,tank is ready to go.
img5.png,It is a plain simple dress.
img6.png,This is a tasty. A grilled cheese sandwich.
img7.png,"This is a text, rather a reflection, and was not just an ordinary sided mirror."
img8.png,a cat in a bag.
img9.png,Do not disturb.
img10.png,"Please do not take my oars, I am really happy to find you down."
img11.png,How do you use one-eyed sotted that he is a mastig or an ant
img12.png,A sheet has been added to the floor.
img13.png,the dinosa that works as a browser to keep all your data.
img14.png,
img15.png,a white writing marker is not visible. but you have also read on.
img16.png,I was wondering when though. I.
img17.png,the image of the cue has been used to a single: Do you have a line? you
img18.png,"Is this a straight, razor comb with a mustan brush??"
img19.png,The mercury stick can be used to read therm is a type can also be measured to read
img20.png,This is one image.
img21.png,The grapes appears to be hanging
img22.png,This looks way too good to you.
img23.png,A large sandwich on French.
img24.png,
img25.png,This is an example sentence.
img26.png,I shall go there:
img27.png,"A human nameds a person who, and they have two hands out, one finger."
img28.png,you cannot take a photo. But I am going to take.
img29.png,This photo was not provided by a great team.
img30.png,"I don't think the only has enough. One, two, or three people."
img31.png,A metallic dessert fork is typically the choice of the moment. The fork in question at
img32.png,This is a placeholder for the most significant p plant that this week's flower was in
img33.png,
img34.png,An old metal can is visible. jea. I'm going to look!
img35.png,a wooden table made of wood.
img36.png,In this picture
img37.png,The king of France is here!
img38.png,
img39.png,"Too often does the same trick on a human body, I want to have a leg. But"
img40.png,The image is clean!
img41.png,Ink.
img42.png,
img43.png,two dots of the die.
img44.png,I could see it
img45.png,"This knife has a long, shiny blade bla, double oh no. This butter"
img46.png,The image is a pinst vest.
img47.png,"""This is a very good image of a bird."""
img48.png,"In this case, one more, the brushing handle in the black plastic stove brush"
img49.png,My balloon is filled.
img50.png,Please draw it.
img51.png,The object has three parts: a hearth
img52.png,Black is white. Very bright.
img53.png,The fan is on.
img54.png,"The image contains is a rectangular window with a black-framed panel on the exterior, and"
img55.png,a lit l lamp!.
img56.png,This is a simple sentence
img57.png,"The skull of a man in black and in white has a pretty, simple question, with a"
img58.png,Large and elegant
img59.png,The drawing is blurry.
img60.png,There is a dog sitting on a grassy knoll.
img61.png,"The boat sketch appears to be drawn with one, or I'll have to tell you."
img62.png,
img63.png,My dear.
img64.png,This is a great sketch drawing. Draw a a r=0.
img65.png,"I just need to say, the carrot. No, my carro, please?"
img66.png,"No cap, n I mean to go to church."
img67.png,Is a book open
img68.png,The van is an old and classic design that's sure to bring all the enjoy. This is
img69.png,Is it not on the map? or not? or
img70.png,We must imagine for the image when you take.
img71.png,This is my dissection scope. This is an unnatural. The microscope will remain.
img72.png,"(Please make the dish without any milksh, black and white, and white goose,"
img73.png,That van is one is used on the roadmap.
img74.png,"In this section, I am a skilled. Can you make a helicopter? with hel"
img75.png,"In England, do we have one bottle, which is a bott, and a bott, half"
img76.png,This is a long scar I done with cream.
img77.png,Please provide the image.
img78.png,Please allow me to draw three pictures.
img79.png,the cartoon of milk
img80.png,Sith.
img81.png,
img82.png,"A man, do noting on a stick, and let him know while owl standing on a"
img83.png,
img84.png,The CIA has a long count as it's come my way this the1 or down to
img85.png,This image is a black and white illustration.
img86.png,the hot dog is not just a torch.
img87.png,"Camel is camel. and camam, camel, as the last winner, and cam"
img88.png,The r is white. There we are not many.
img89.png,You will be delighted to.
img90.png,"I hereby direct to you upon a piece of paper, and this was made."
img91.png,The character is on this pair of footed boots with ties laces. It has la
img92.png,"The image of the wedge sandwich, neatly cut in half."
img93.png,This is no far above what you think. Black and white spider.
img94.png,You are asking it in this image.
img95.png,"A white toilet with a handle, a lid, and l,"
img96.png,
img97.png,Only one ounce
img98.png,
img99.png,"She has given herself with unpredict, she is a queen,
and I’m"
img100.png,"The image of the steam engine locomot, which is in the first of the two class, pulling the"
img101.png,A small church.
img102.png,"I don't want to look at this drawing. They's an anchor, it's"
img103.png,"whome will you take a photo, it looks like anything, right? But I digress."
img104.png,"Do not take me down and make, for me, thou is unaccept. but as the image"
img105.png,1. Pyram of Egypt.
img106.png,I don't like my type. I like you.
img107.png,"The rope symbol is not so clear, is not used to represent the color of the white."
img108.png,"You will soon become acquainted with this luminous essibility.

This is the correct"
img109.png,The writer wishes to return and do. Your job is done.
img110.png,"The image is not properly formatted, but it is not a common or recommended or recognized, an instance"
img111.png,"The only one who is, and the other is and the bread, and the cranberry,"
img112.png,I want to buy the clyde mare. This pony was given his second chance. I
img113.png,
img114.png,The man appears to be wearing a hat. No one has ever. No one has been able
img115.png,"The image is black and white; I’m looking for a white bread, cross, white,"
img116.png,These are a bunch of pictures for the wall.
img117.png,it appears the bone is lying. Why has happened to the man?
img118.png,"I have drawn the cat, but when seeing this thing, and any other that might bring on too"
img119.png,"This is a well-planned, detailed, kitchenette."
img120.png,The user appears to be signed off as dragon.
img121.png,
img122.png,this pie is a tasty.
img123.png,"This is a test of the character, a creature named Dill with a little one as a sl"
img124.png,Sailing is challenging: The pir captain
img125.png,"the most glorious clock, the last is a very creative piece of art as someone once described"
img126.png,I just want to thank that I don't notice an
img127.png,"It's a great pair of socks for a pair, and a sock is a good"
img128.png,The image displaysing does not open automatically.
img129.png,
img130.png,100
img131.png,the bat is drawn.
img132.png,"This is the leaf of the maple, for the record, leaf it shall be said."
img133.png,The slippers are white.
img134.png,"A young, white mountain or high peak of a sketch. The mountain, in a snowstorm"
img135.png,The man found a picture
img136.png,"It looks like a man, passing most."
img137.png,"I have such many curiosity ear pain (image courantes) a charming, et puis r et"
img138.png,A large wooden door with a set of doors. If someone knocked.
img139.png,This is a house. Please make sure to keep a house in this house without.
img140.png,
img141.png,"Spygonium, or as its brand."
img142.png,please provide us with an only.
img143.png,A jar with a lid is placed in a single black person.
img144.png,Hello I found like this:
img145.png,I have a young elephant.
img146.png,"this is a single image, but I will also place a rope, and then pull it into"
img147.png,1
img148.png,"One-way, downsize."
img149.png,"I, John, the other, I, you'll, or I; they, and so"
img150.png,I draw your attention.
img151.png,"A person, of whom I used to be. Noir to be black and white, as it"
img152.png,This object
img153.png,The image is a black and white sketch of a room desk
img154.png,
img155.png,"A great, albeit no one can be spurned, it is possible that someone on this"
img156.png,
img157.png,"[title="" with all the details"
img158.png,Please tell me I's there is something on the wall!
img159.png,"I could be happy that we have a sponson right, our new and improved version, I am"
img160.png,"The image is a type of ring chart, with an oval shape and a large pepperoni"
img161.png,"Draw two, , let me plant... please."
img162.png,"[span is a lot, and the white, who has been given down, will find that it"
img163.png,black and white.
img164.png,"Mmm, this two layer, layer, slice cake cake (or ice cre cre,"
img165.png,hat
img166.png,The king does not allow an image with a face marker.
img167.png,The image is not clear since the first image is drawn from a black and white palette.
img168.png,Can you provide an illustration please? Only one word on me.
img169.png,This appears to be a picture of elegance.
img170.png,The butterfly has been identified with a certain key phrase by a bug.
img171.png,
img172.png,"Is this skiing on a drawing board? snow skiing in the woods, running on the ice"
img173.png,"This clownfish, however delightful, is a very couch."
img174.png,The image of a mountain in the sky.
img175.png,"Do not put the cream of ""Issy"" with this unripe piece."
img176.png,
img177.png,"One cannot imagine it in the middle of a zuc, could one, in an unison?"
img178.png,I am an older or younger.
img179.png,
img180.png,the harm would be to use.
img181.png,Yes
img182.png,"the young, sh-ha-hunters, the girl, and the old lady. I"
img183.png,A sketch can be drawn. I'd see it has a bad eye.
img184.png,he came up to the big white man in his black. He in their heads. His. The
img185.png,The monkey can barely be drawn towards one foot.
